[14:27:30:739] [abCDN_dns_server] abCDN_dns_server: ('127.0.0.1', 50003) ON
[14:28:11:589] [abCDN_dns_server] received from ('127.0.0.1', 58698): {'type': 'dns_rqst', 'url': 'abCDN.net/cdn3', 'txid': 42}
[14:28:11:590] [abCDN_dns_server] send to ('127.0.0.1', 58698): {'type': 'dns_rsp', 'url_echo': 'abCDN.net/cdn3', 'txid': 42, 'answer': {'HQ': '127.0.0.1:50010', 'MQ': '127.0.0.1:50011', 'LQ': '127.0.0.1:50012'}}
[15:26:45:103] [abCDN_dns_server] abCDN_dns_server: ('127.0.0.1', 50003) ON
[15:26:59:324] [abCDN_dns_server] received from ('127.0.0.1', 50000): {'type': 'dns_rqst', 'url': 'abCDN.net/cdn3', 'txid': 53964}
[15:26:59:324] [abCDN_dns_server] send to ('127.0.0.1', 50000): {'type': 'dns_rsp', 'url_echo': 'abCDN.net/cdn3', 'txid': 53964, 'answer': {'HQ': '127.0.0.1:50010', 'MQ': '127.0.0.1:50011', 'LQ': '127.0.0.1:50012'}}
[17:12:02:040] [abCDN_dns_server] received from ('127.0.0.1', 50000): {'type': 'dns_rqst', 'url': 'abCDN.net/cdn3', 'txid': 11768}
[17:12:02:041] [abCDN_dns_server] send to ('127.0.0.1', 50000): {'type': 'dns_rsp', 'url_echo': 'abCDN.net/cdn3', 'txid': 11768, 'answer': {'HQ': '127.0.0.1:50010', 'MQ': '127.0.0.1:50011', 'LQ': '127.0.0.1:50012'}}
[17:47:39:126] [abCDN_dns_server] received from ('127.0.0.1', 50000): {'type': 'dns_rqst', 'url': 'abCDN.net/cdn3', 'txid': 59690}
[17:47:39:127] [abCDN_dns_server] send to ('127.0.0.1', 50000): {'type': 'dns_rsp', 'url_echo': 'abCDN.net/cdn3', 'txid': 59690, 'answer': {'HQ': '127.0.0.1:50010', 'MQ': '127.0.0.1:50011', 'LQ': '127.0.0.1:50012'}}
[17:47:42:323] [abCDN_dns_server] received from ('127.0.0.1', 50000): {'type': 'dns_rqst', 'url': 'abCDN.net/cdn3', 'txid': 51261}
[17:47:42:323] [abCDN_dns_server] send to ('127.0.0.1', 50000): {'type': 'dns_rsp', 'url_echo': 'abCDN.net/cdn3', 'txid': 51261, 'answer': {'HQ': '127.0.0.1:50010', 'MQ': '127.0.0.1:50011', 'LQ': '127.0.0.1:50012'}}
[17:47:43:640] [abCDN_dns_server] received from ('127.0.0.1', 50000): {'type': 'dns_rqst', 'url': 'abCDN.net/cdn3', 'txid': 45159}
[17:47:43:640] [abCDN_dns_server] send to ('127.0.0.1', 50000): {'type': 'dns_rsp', 'url_echo': 'abCDN.net/cdn3', 'txid': 45159, 'answer': {'HQ': '127.0.0.1:50010', 'MQ': '127.0.0.1:50011', 'LQ': '127.0.0.1:50012'}}
